# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CELSR1	ENSCAFG00000000767	ENSCAFT00000001204	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CELSR1	ENSCAFG00000000767	ENSCAFT00000048271	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CELSR3	ENSCAFG00000029819	ENSCAFT00000042870	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CEP128	ENSCAFG00000017293	ENSCAFT00000027397	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEP131	ENSCAFG00000005711	ENSCAFT00000009210	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CEP135	ENSCAFG00000002189	ENSCAFT00000003446	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CEP135	ENSCAFG00000002189	ENSCAFT00000048624	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CEP162	ENSCAFG00000002979	ENSCAFT00000004775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CEP350	ENSCAFG00000012684	ENSCAFT00000020139	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEP350	ENSCAFG00000012684	ENSCAFT00000020142	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEP70	ENSCAFG00000007569	ENSCAFT00000036223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CEP76	ENSCAFG00000018851	ENSCAFT00000029925	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CERK	ENSCAFG00000000752	ENSCAFT00000001158	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CERK	ENSCAFG00000000752	ENSCAFT00000046855	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CERS4	ENSCAFG00000018482	ENSCAFT00000029355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CERS5	ENSCAFG00000008262	ENSCAFT00000013123	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP46	ENSCAFG00000011158	ENSCAFT00000017723	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CFAP46	ENSCAFG00000011158	ENSCAFT00000017743	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CFAP47	ENSCAFG00000024088	ENSCAFT00000037291	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CFAP47	ENSCAFG00000024088	ENSCAFT00000045205	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGA	ENSCAFG00000003040	ENSCAFT00000004888	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CGNL1	ENSCAFG00000016262	ENSCAFT00000025797	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHAC2	ENSCAFG00000002722	ENSCAFT00000004309	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHAT	ENSCAFG00000006672	ENSCAFT00000010762	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHAT	ENSCAFG00000006672	ENSCAFT00000044328	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHCHD1	ENSCAFG00000014874	ENSCAFT00000023617	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHD2	ENSCAFG00000010998	ENSCAFT00000017614	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHD2	ENSCAFG00000010998	ENSCAFT00000043290	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHD2	ENSCAFG00000010998	ENSCAFT00000044612	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHD2	ENSCAFG00000010998	ENSCAFT00000045903	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHRD	ENSCAFG00000012862	ENSCAFT00000020435	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHRD	ENSCAFG00000012862	ENSCAFT00000048772	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHRDL2	ENSCAFG00000005475	ENSCAFT00000008826	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHRNA4	ENSCAFG00000012893	ENSCAFT00000020498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CHRND	ENSCAFG00000011283	ENSCAFT00000017944	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CHST3	ENSCAFG00000014410	ENSCAFT00000022886	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHTF18	ENSCAFG00000019611	ENSCAFT00000031175	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CI-MPR	ENSCAFG00000000691	ENSCAFT00000001105	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CI-MPR	ENSCAFG00000000691	ENSCAFT00000049827	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CIB3	ENSCAFG00000015775	ENSCAFT00000025000	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CIB4	ENSCAFG00000004462	ENSCAFT00000007193	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CISD3	ENSCAFG00000030243	ENSCAFT00000048164	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CITED2	ENSCAFG00000000285	ENSCAFT00000000443	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CIZ1	ENSCAFG00000020086	ENSCAFT00000031967	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CIZ1	ENSCAFG00000020086	ENSCAFT00000043289	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CKMT2	ENSCAFG00000008707	ENSCAFT00000013846	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
CKMT2	ENSCAFG00000008707	ENSCAFT00000048423	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CLCA1	ENSCAFG00000020246	ENSCAFT00000032251	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLEC16A	ENSCAFG00000018920	ENSCAFT00000030034	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLEC16A	ENSCAFG00000018920	ENSCAFT00000030036	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLEC4F	ENSCAFG00000003431	ENSCAFT00000005521	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLEC4G	ENSCAFG00000018312	ENSCAFT00000029086	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLIC2	ENSCAFG00000029471	ENSCAFT00000047938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CLN6	ENSCAFG00000017473	ENSCAFT00000027690	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CLPX	ENSCAFG00000017131	ENSCAFT00000027135	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CMIP	ENSCAFG00000019997	ENSCAFT00000031825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNGB3	ENSCAFG00000008906	ENSCAFT00000014134	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNGB3	ENSCAFG00000008906	ENSCAFT00000045032	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNIH2	ENSCAFG00000012831	ENSCAFT00000020357	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNOT1	ENSCAFG00000008426	ENSCAFT00000013421	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CNP	ENSCAFG00000015757	ENSCAFT00000024972	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNST	ENSCAFG00000015876	ENSCAFT00000025152	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNTF	ENSCAFG00000025081	ENSCAFT00000012294	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNTLN	ENSCAFG00000001566	ENSCAFT00000002453	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
CNTLN	ENSCAFG00000001566	ENSCAFT00000039737	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
CNTN1	ENSCAFG00000009872	ENSCAFT00000015703	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
CNTN4	ENSCAFG00000006013	ENSCAFT00000009728	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CNTRL	ENSCAFG00000003608	ENSCAFT00000005822	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CNTRL	ENSCAFG00000003608	ENSCAFT00000005830	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG2	ENSCAFG00000012080	ENSCAFT00000019196	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL10A1	ENSCAFG00000030721	ENSCAFT00000042952	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
COL11A1	ENSCAFG00000019985	ENSCAFT00000031806	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COL11A1	ENSCAFG00000019985	ENSCAFT00000031809	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COL11A1	ENSCAFG00000019985	ENSCAFT00000043301	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COL11A2	ENSCAFG00000000903	ENSCAFT00000001407	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
COL11A2	ENSCAFG00000000903	ENSCAFT00000001409	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
COL14A1	ENSCAFG00000000934	ENSCAFT00000001452	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
COL15A1	ENSCAFG00000002525	ENSCAFT00000003985	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL15A1	ENSCAFG00000002525	ENSCAFT00000046124	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL15A1	ENSCAFG00000002525	ENSCAFT00000046755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL16A1	ENSCAFG00000010930	ENSCAFT00000017413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL16A1	ENSCAFG00000010930	ENSCAFT00000044541	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000005111	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000016764	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL17A1	ENSCAFG00000010547	ENSCAFT00000045026	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL20A1	ENSCAFG00000012848	ENSCAFT00000020396	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COL22A1	ENSCAFG00000001178	ENSCAFT00000001823	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL22A1	ENSCAFG00000001178	ENSCAFT00000044169	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL23A1	ENSCAFG00000000246	ENSCAFT00000049928	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL25A1	ENSCAFG00000011361	ENSCAFT00000018067	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL25A1	ENSCAFG00000011361	ENSCAFT00000046228	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL27A1	ENSCAFG00000003327	ENSCAFT00000005319	protein_coding	0	0	1	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
COL27A1	ENSCAFG00000003327	ENSCAFT00000048620	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COL2A1	ENSCAFG00000009059	ENSCAFT00000014414	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
COL2A1	ENSCAFG00000009059	ENSCAFT00000023550	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
COL4A3	ENSCAFG00000010426	ENSCAFT00000016556	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL4A3	ENSCAFG00000010426	ENSCAFT00000049664	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL4A6	ENSCAFG00000018016	ENSCAFT00000028616	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL4A6	ENSCAFG00000018016	ENSCAFT00000042900	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL5A1	ENSCAFG00000019848	ENSCAFT00000031582	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL5A1	ENSCAFG00000019848	ENSCAFT00000044143	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL5A3	ENSCAFG00000017958	ENSCAFT00000028514	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019411	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019420	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL6A3	ENSCAFG00000012226	ENSCAFT00000019426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL7A1	ENSCAFG00000012403	ENSCAFT00000019781	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL8A2	ENSCAFG00000032454	ENSCAFT00000045178	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL9A2	ENSCAFG00000002997	ENSCAFT00000004806	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL9A2	ENSCAFG00000002997	ENSCAFT00000047994	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COL9A3	ENSCAFG00000012731	ENSCAFT00000020179	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
COPG2	ENSCAFG00000001426	ENSCAFT00000002234	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COPS2	ENSCAFG00000014850	ENSCAFT00000023590	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CORO1C	ENSCAFG00000011301	ENSCAFT00000017981	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CORO1C	ENSCAFG00000011301	ENSCAFT00000035670	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORO2A	ENSCAFG00000002477	ENSCAFT00000003912	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CORO2B	ENSCAFG00000017498	ENSCAFT00000027724	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COTL1	ENSCAFG00000032529	ENSCAFT00000046781	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COX1	ENSCAFG00000022723	ENSCAFT00000034830	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
COX3	ENSCAFG00000022730	ENSCAFT00000034837	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
COX4I2	ENSCAFG00000007049	ENSCAFT00000011306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPLX1	ENSCAFG00000016757	ENSCAFT00000026529	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CPM	ENSCAFG00000000420	ENSCAFT00000000665	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPNE2	ENSCAFG00000008855	ENSCAFT00000014118	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
CREB3L2	ENSCAFG00000013481	ENSCAFT00000021383	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRHR2	ENSCAFG00000003097	ENSCAFT00000004972	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRISPLD1	ENSCAFG00000008246	ENSCAFT00000013121	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRISPLD1	ENSCAFG00000008246	ENSCAFT00000013126	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRISPLD2	ENSCAFG00000019943	ENSCAFT00000031730	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCC	ENSCAFG00000015879	ENSCAFT00000025161	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CROCC	ENSCAFG00000015879	ENSCAFT00000047339	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CROCC2	ENSCAFG00000031521	ENSCAFT00000046767	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CRTAM	ENSCAFG00000011705	ENSCAFT00000018571	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CRY2	ENSCAFG00000009379	ENSCAFT00000014927	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CRYBA4	ENSCAFG00000011809	ENSCAFT00000018755	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CRYGB	ENSCAFG00000032653	ENSCAFT00000021531	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSDE1	ENSCAFG00000009618	ENSCAFT00000015306	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CSMD2	ENSCAFG00000003651	ENSCAFT00000005882	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSMD3	ENSCAFG00000000786	ENSCAFT00000001231	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSMD3	ENSCAFG00000000786	ENSCAFT00000001238	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CTBP1	ENSCAFG00000016687	ENSCAFT00000026428	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CTBP1	ENSCAFG00000016687	ENSCAFT00000047481	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CTNNA3	ENSCAFG00000013221	ENSCAFT00000021033	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CTNS	ENSCAFG00000019345	ENSCAFT00000030743	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTSA	ENSCAFG00000009819	ENSCAFT00000015596	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTSK	ENSCAFG00000012093	ENSCAFT00000019202	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CUX2	ENSCAFG00000008575	ENSCAFT00000013611	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CWH43	ENSCAFG00000001997	ENSCAFT00000003159	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CYFIP2	ENSCAFG00000017484	ENSCAFT00000027770	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CYHR1	ENSCAFG00000001624	ENSCAFT00000038984	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP1A2	ENSCAFG00000017941	ENSCAFT00000039456	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
CYP2E1	ENSCAFG00000013318	ENSCAFT00000039127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CYP2F1	ENSCAFG00000023821	ENSCAFT00000008161	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CYP3A26	ENSCAFG00000014942	ENSCAFT00000023714	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CYTB	ENSCAFG00000022742	ENSCAFT00000034849	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Ct-R	ENSCAFG00000002033	ENSCAFT00000003225	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DAW1	ENSCAFG00000010512	ENSCAFT00000016715	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
DAZAP2	ENSCAFG00000031025	ENSCAFT00000045848	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DBN1	ENSCAFG00000016357	ENSCAFT00000025945	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DBN1	ENSCAFG00000016357	ENSCAFT00000044408	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DBP	ENSCAFG00000003928	ENSCAFT00000006342	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
DCAF10	ENSCAFG00000002394	ENSCAFT00000003750	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DCBLD2	ENSCAFG00000009214	ENSCAFT00000014656	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DCLK1	ENSCAFG00000006231	ENSCAFT00000010076	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DCSTAMP	ENSCAFG00000000675	ENSCAFT00000001043	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DCTN4	ENSCAFG00000018072	ENSCAFT00000028722	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DCTN4	ENSCAFG00000018072	ENSCAFT00000035516	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
