# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DKK1	ENSCAFG00000015553	ENSCAFT00000024645	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DLG1	ENSCAFG00000013275	ENSCAFT00000021165	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DLG1	ENSCAFG00000013275	ENSCAFT00000021175	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DLGAP4	ENSCAFG00000008491	ENSCAFT00000013523	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DLK2	ENSCAFG00000001858	ENSCAFT00000002940	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DLK2	ENSCAFG00000001858	ENSCAFT00000047736	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMBT1	ENSCAFG00000012561	ENSCAFT00000019948	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DMBT1	ENSCAFG00000012561	ENSCAFT00000019961	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DMBT1	ENSCAFG00000012561	ENSCAFT00000019984	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DNA2	ENSCAFG00000013710	ENSCAFT00000021752	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DNA2	ENSCAFG00000013710	ENSCAFT00000036654	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DNA2	ENSCAFG00000013710	ENSCAFT00000046272	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DNAI2	ENSCAFG00000004532	ENSCAFT00000007308	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DNAI2	ENSCAFG00000004532	ENSCAFT00000043080	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DNAJC17	ENSCAFG00000009322	ENSCAFT00000014840	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DOCK1	ENSCAFG00000013062	ENSCAFT00000020801	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DOCK1	ENSCAFG00000013062	ENSCAFT00000020816	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DPEP1	ENSCAFG00000019824	ENSCAFT00000031535	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DPEP3	ENSCAFG00000024187	ENSCAFT00000032374	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DPEP3	ENSCAFG00000024187	ENSCAFT00000044870	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DPP10	ENSCAFG00000004970	ENSCAFT00000008003	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DPP8	ENSCAFG00000017203	ENSCAFT00000027272	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DPP8	ENSCAFG00000017203	ENSCAFT00000027284	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DSP	ENSCAFG00000009570	ENSCAFT00000015201	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DSP	ENSCAFG00000009570	ENSCAFT00000049667	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DST	ENSCAFG00000002413	ENSCAFT00000003820	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
DST	ENSCAFG00000002413	ENSCAFT00000043203	protein_coding	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
DYNC1I1	ENSCAFG00000002143	ENSCAFT00000003385	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DYNLRB1	ENSCAFG00000007547	ENSCAFT00000012090	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ECE1	ENSCAFG00000014920	ENSCAFT00000023718	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EED	ENSCAFG00000004471	ENSCAFT00000007206	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EEF1A1	ENSCAFG00000002656	ENSCAFT00000004182	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
EGF	ENSCAFG00000011532	ENSCAFT00000018307	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
EGF	ENSCAFG00000011532	ENSCAFT00000048907	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
EIF2A	ENSCAFG00000008407	ENSCAFT00000013362	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EIF2AK4	ENSCAFG00000008775	ENSCAFT00000014032	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ELAC2	ENSCAFG00000017886	ENSCAFT00000028387	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EMC1	ENSCAFG00000015221	ENSCAFT00000024167	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EMC1	ENSCAFG00000015221	ENSCAFT00000045340	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000000089	ENSCAFG00000000089	ENSCAFT00000000144	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000000326	ENSCAFG00000000326	ENSCAFT00000000501	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000326	ENSCAFG00000000326	ENSCAFT00000044228	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000000485	ENSCAFG00000000485	ENSCAFT00000000768	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000734	ENSCAFG00000000734	ENSCAFT00000001143	pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000769	ENSCAFG00000000769	ENSCAFT00000001196	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000001448	ENSCAFG00000001448	ENSCAFT00000002258	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000001474	ENSCAFG00000001474	ENSCAFT00000002293	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000001853	ENSCAFG00000001853	ENSCAFT00000002921	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000001853	ENSCAFG00000001853	ENSCAFT00000042912	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000002577	ENSCAFG00000002577	ENSCAFT00000004058	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000002703	ENSCAFG00000002703	ENSCAFT00000004266	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000002716	ENSCAFG00000002716	ENSCAFT00000004303	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000002717	ENSCAFG00000002717	ENSCAFT00000004311	protein_coding	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
ENSCAFG00000002717	ENSCAFG00000002717	ENSCAFT00000046357	protein_coding	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
ENSCAFG00000002721	ENSCAFG00000002721	ENSCAFT00000004307	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000003132	ENSCAFG00000003132	ENSCAFT00000005040	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000003423	ENSCAFG00000003423	ENSCAFT00000005510	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000003423	ENSCAFG00000003423	ENSCAFT00000036962	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000005717	ENSCAFG00000005717	ENSCAFT00000009249	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000005717	ENSCAFG00000005717	ENSCAFT00000009252	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000005717	ENSCAFG00000005717	ENSCAFT00000049028	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000005717	ENSCAFG00000005717	ENSCAFT00000049432	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000005773	ENSCAFG00000005773	ENSCAFT00000009316	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000006084	ENSCAFG00000006084	ENSCAFT00000009848	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000006341	ENSCAFG00000006341	ENSCAFT00000010247	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000007307	ENSCAFG00000007307	ENSCAFT00000011689	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000007307	ENSCAFG00000007307	ENSCAFT00000011692	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000007622	ENSCAFG00000007622	ENSCAFT00000012186	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000007867	ENSCAFG00000007867	ENSCAFT00000012579	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000008051	ENSCAFG00000008051	ENSCAFT00000012845	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000008206	ENSCAFG00000008206	ENSCAFT00000013042	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000008751	ENSCAFG00000008751	ENSCAFT00000013908	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000009099	ENSCAFG00000009099	ENSCAFT00000014478	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000009852	ENSCAFG00000009852	ENSCAFT00000015649	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000010105	ENSCAFG00000010105	ENSCAFT00000016057	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000010442	ENSCAFG00000010442	ENSCAFT00000016587	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000010442	ENSCAFG00000010442	ENSCAFT00000047047	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000011479	ENSCAFG00000011479	ENSCAFT00000018256	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000011517	ENSCAFG00000011517	ENSCAFT00000018288	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000012303	ENSCAFG00000012303	ENSCAFT00000019565	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000012668	ENSCAFG00000012668	ENSCAFT00000020104	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000013303	ENSCAFG00000013303	ENSCAFT00000021102	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000013453	ENSCAFG00000013453	ENSCAFT00000021334	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000013586	ENSCAFG00000013586	ENSCAFT00000021539	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000013770	ENSCAFG00000013770	ENSCAFT00000021851	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000013770	ENSCAFG00000013770	ENSCAFT00000048682	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000013888	ENSCAFG00000013888	ENSCAFT00000022042	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000014011	ENSCAFG00000014011	ENSCAFT00000022246	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000014025	ENSCAFG00000014025	ENSCAFT00000022319	protein_coding	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ENSCAFG00000014042	ENSCAFG00000014042	ENSCAFT00000022290	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000014312	ENSCAFG00000014312	ENSCAFT00000022743	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000014869	ENSCAFG00000014869	ENSCAFT00000023596	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000015686	ENSCAFG00000015686	ENSCAFT00000024843	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000015686	ENSCAFG00000015686	ENSCAFT00000044418	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000016291	ENSCAFG00000016291	ENSCAFT00000025847	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000016452	ENSCAFG00000016452	ENSCAFT00000026079	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000016639	ENSCAFG00000016639	ENSCAFT00000026358	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000016658	ENSCAFG00000016658	ENSCAFT00000036152	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000017532	ENSCAFG00000017532	ENSCAFT00000027790	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000017532	ENSCAFG00000017532	ENSCAFT00000027792	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000017721	ENSCAFG00000017721	ENSCAFT00000028110	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSCAFG00000018104	ENSCAFG00000018104	ENSCAFT00000028770	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSCAFG00000018729	ENSCAFG00000018729	ENSCAFT00000029728	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000019160	ENSCAFG00000019160	ENSCAFT00000030417	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000019335	ENSCAFG00000019335	ENSCAFT00000030719	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000019353	ENSCAFG00000019353	ENSCAFT00000030755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000019353	ENSCAFG00000019353	ENSCAFT00000030757	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000019662	ENSCAFG00000019662	ENSCAFT00000031266	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000020158	ENSCAFG00000020158	ENSCAFT00000032095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000020250	ENSCAFG00000020250	ENSCAFT00000032254	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000021140	ENSCAFG00000021140	ENSCAFT00000033247	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000022649	ENSCAFG00000022649	ENSCAFT00000034756	snRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022731	ENSCAFG00000022731	ENSCAFT00000034838	Mt_tRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022733	ENSCAFG00000022733	ENSCAFT00000034840	Mt_tRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022736	ENSCAFG00000022736	ENSCAFT00000034843	Mt_tRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022737	ENSCAFG00000022737	ENSCAFT00000034844	Mt_tRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022738	ENSCAFG00000022738	ENSCAFT00000034845	Mt_tRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000022741	ENSCAFG00000022741	ENSCAFT00000034848	Mt_tRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000022743	ENSCAFG00000022743	ENSCAFT00000034850	Mt_tRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000022744	ENSCAFG00000022744	ENSCAFT00000034851	Mt_tRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000023176	ENSCAFG00000023176	ENSCAFT00000035483	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000023227	ENSCAFG00000023227	ENSCAFT00000010572	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000023227	ENSCAFG00000023227	ENSCAFT00000044886	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000023230	ENSCAFG00000023230	ENSCAFT00000035597	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000023482	ENSCAFG00000023482	ENSCAFT00000036120	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000023788	ENSCAFG00000023788	ENSCAFT00000015474	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000024055	ENSCAFG00000024055	ENSCAFT00000030679	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000024064	ENSCAFG00000024064	ENSCAFT00000003222	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024216	ENSCAFG00000024216	ENSCAFT00000021890	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000024259	ENSCAFG00000024259	ENSCAFT00000022190	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024259	ENSCAFG00000024259	ENSCAFT00000048435	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024444	ENSCAFG00000024444	ENSCAFT00000037740	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000024545	ENSCAFG00000024545	ENSCAFT00000037885	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024545	ENSCAFG00000024545	ENSCAFT00000042799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000024690	ENSCAFG00000024690	ENSCAFT00000038104	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024792	ENSCAFG00000024792	ENSCAFT00000038313	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000024944	ENSCAFG00000024944	ENSCAFT00000038575	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000024991	ENSCAFG00000024991	ENSCAFT00000015920	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000025100	ENSCAFG00000025100	ENSCAFT00000031228	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000025568	ENSCAFG00000025568	ENSCAFT00000019486	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000025580	ENSCAFG00000025580	ENSCAFT00000010419	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000025672	ENSCAFG00000025672	ENSCAFT00000039955	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000026210	ENSCAFG00000026210	ENSCAFT00000040493	snoRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000026465	ENSCAFG00000026465	ENSCAFT00000040748	snoRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000027752	ENSCAFG00000027752	ENSCAFT00000042035	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000028299	ENSCAFG00000028299	ENSCAFT00000042582	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000028470	ENSCAFG00000028470	ENSCAFT00000047931	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000028509	ENSCAFG00000028509	ENSCAFT00000044720	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ENSCAFG00000028525	ENSCAFG00000028525	ENSCAFT00000048564	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000028587	ENSCAFG00000028587	ENSCAFT00000049629	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000028595	ENSCAFG00000028595	ENSCAFT00000045931	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000028745	ENSCAFG00000028745	ENSCAFT00000044420	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000029294	ENSCAFG00000029294	ENSCAFT00000047946	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000029376	ENSCAFG00000029376	ENSCAFT00000045838	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000029388	ENSCAFG00000029388	ENSCAFT00000047155	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000029455	ENSCAFG00000029455	ENSCAFT00000047707	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000029547	ENSCAFG00000029547	ENSCAFT00000048553	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000029574	ENSCAFG00000029574	ENSCAFT00000046227	pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000029608	ENSCAFG00000029608	ENSCAFT00000048230	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000029984	ENSCAFG00000029984	ENSCAFT00000048456	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000030048	ENSCAFG00000030048	ENSCAFT00000048035	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSCAFG00000030166	ENSCAFG00000030166	ENSCAFT00000045941	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000030222	ENSCAFG00000030222	ENSCAFT00000045790	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000030258	ENSCAFG00000030258	ENSCAFT00000029354	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSCAFG00000030258	ENSCAFG00000030258	ENSCAFT00000045554	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000030265	ENSCAFG00000030265	ENSCAFT00000045867	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000030290	ENSCAFG00000030290	ENSCAFT00000044800	pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCAFG00000030349	ENSCAFG00000030349	ENSCAFT00000046843	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSCAFG00000030378	ENSCAFG00000030378	ENSCAFT00000046025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCAFG00000030398	ENSCAFG00000030398	ENSCAFT00000045448	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000030467	ENSCAFG00000030467	ENSCAFT00000037933	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSCAFG00000030534	ENSCAFG00000030534	ENSCAFT00000043281	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000030552	ENSCAFG00000030552	ENSCAFT00000042559	snRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
